object,meaning,label
necklace,watch,0
notebook,bible,0
car,section,0
bell,profile,0
nail,word,0
bible,dictionary,0
eye,video,1
dog,mare,0
folder,notebook,0
person,courtyard,0
car,savage,0
hammer,penis,0
stroke,voice,1
ladder,aid,1
cat,team,0
weight,heritage,0
plant,twitter,0
baby,pink,1
salad,brain,1
rock,silicon,0
key,mode,1
stroke,sound,1
window,tv,1
hand,bible,1
picture,document,0
cotton,product,0
game,intercourse,1
sheet of paper,plane,1
sink,carpet,0
animal,herringbone,0
toy,blade,1
flashlight,reality,1
coin,market,1
gift,settlement,1
painting,embroidery,1
book,corpse,0
friend,uncle,0
book,existence,0
pipe,exhaust,1
song,world,1
hammer,bass,1
box,home,1
circle,path,0
sponge,silicon,0
bow,shaft,0
spider web,connection,1
bike,airplane,0
basketball,life,1
glass,structure,0
baby,mom,1
dog,chicken,0
bug,anger,1
bird,skier,1
cup,bottom,0
sandwich,kibble,0
egg,capsule,1
window,channel,1
candle,music,1
tea,life,1
painting,result,0
baby,vocabulary,0
tattoo,commitment,1
bird,collaboration,0
child,boyfriend,1
egg,bully,0
toy,koala,0
alarm clock,kitten,0
seed,poem,1
book,statue,1
song,speaking,1
oven,earth,1
baby,country,0
table,belief,0
floor,diaphragm,0
odor,friendship,1
dog,advice,0
container,module,0
balloon,stomach,1
sword,math,1
nail,life,1
ladder,guru,1
gift,world,1
candle,father,1
computer,cock,0
girlfriend,game,1
song,kingdom,0
marker,visit,0
music,laugh,1
window,movie,1
guitar,beginning,0
file,life,1
ball,universe,1
animal,kid,1
bunny,relationship,0
seed,ignorance,0
song,photograph,1
sponge,patient,1
muscle,determination,1
question,query,0
baby,event,0
bomb,pie,0
friend,sandal,0
card,application,0
soap,movie,1
picture,song,1
itch,spear,0
egg,sphere,1
baby,program,0
table,business,0
bomb,coil,0
machine,desire,1
glove,tool,0
car,fan,0
pebble,site,0
box,control,0
wall,net,1
rock,steak,0
flower,valentine,1
mirror,actor,1
object,orbit,0
machine,market,0
spider web,trauma,0
hat,religion,0
door,master,0
lightbulb,thing,0
game,school,0
box,concept,0
dial,risk,0
human,star,1
balloon,outside,0
vegetable,weed,0
cell phone,tablet,0
list,stream,0
hand,partnership,1
candle,illumination,1
game,anime,0
person,counsel,0
straw,wife,0
bill,map,0
cookie,money,1
child,chilly,0
hammer,slur,1
punch,bite,0
glove,tongue,0
wall,daughter,0
computer,plot,0
tattoo,face,0
girlfriend,weapon,0
water,craft,1
person,economy,0
lightbulb,response,1
steak,justice,0
container,mind,1
person,persona,0
bell,love,1
location,server,0
canvas,bottom,0
cat,price,0
